ENTREZID	SYMBOL	length	sample1	sample2	sample3
143471	PSMA8	2947	35	10	43
1435	CSF1	7905	362	45	1651
143570	XRRA1	19988	63	33	195
1436	CSF1R	6666	4	0	6
143630	UBQLNL	2313	7	11	5
143684	FAM76B	14121	257	124	389
143686	SESN3	12319	71	137	74
143689	PIWIL4	5174	5	19	5
1437	CSF2	787	1617	0	4564
143872	ARHGAP42	10053	14	37	12
143879	KBTBD3	8642	31	50	58
143884	CWF19L2	5104	46	48	120
143888	KDELC2	10970	301	114	277
1439	CSF2RB	8962	5	25	5
143903	LAYN	9399	13	13	16
1441	CSF3R	16699	5	5	2
144100	PLEKHA7	16656	40	36	64
144108	SPTY2D1	6698	314	53	432
144110	TMEM86A	5384	6	20	9
144132	DNHD1	42493	84	41	115
144165	PRICKLE1	15651	2	11	6
144193	AMDHD1	4042	2	5	7
144195	SLC2A14	17162	23	29	62
144233	BCDIN3D	4382	27	11	41
144245	ALG10B	13975	61	24	124
144321	GLIPR1L2	5691	8	40	4
144348	ZNF664	15641	294	73	254
144363	ETFRF1	7695	119	50	143
144402	CPNE8	8361	93	93	138
144404	TMEM120B	12341	203	28	276
144406	WDR66	19529	22	45	19
144423	GLT1D1	8354	5	5	2
144453	BEST3	11627	11	31	12
144455	E2F7	11252	77	8	139
144481	SOCS2-AS1	5174	0	12	4
1445	CSK	10257	550	262	492
144535	CFAP54	14297	28	94	21
144568	A2ML1	8745	9	16	7
144571	A2M-AS1	2192	2	6	1
144577	C12orf66	9384	89	35	116
144608	C12orf60	5244	28	19	46
144699	FBXL14	2111	195	101	210
144715	RAD9B	6397	23	11	25
144742	LINC00934	2291	4	10	1
144811	LACC1	9304	65	16	127
144920	LINC00343	8062	11	24	3
144983	HNRNPA1L2	1420	51	23	77
145173	B3GLCT	4674	209	83	222
1452	CSNK1A1	12116	1770	764	2460
145200	LINC00239	639	1	10	1
145282	MIPOL1	25044	11	30	9
1453	CSNK1D	21198	919	285	1256
145376	PPP1R36	4344	9	12	12
145389	SLC38A6	9645	49	45	77
1454	CSNK1E	10151	70	18	88
145447	ABHD12B	5843	2	11	3
145482	PTGR2	12385	56	25	86
145483	FAM161B	8511	28	21	30
145497	LRRC74A	4209	4	5	0
1455	CSNK1G2	6166	281	328	449
145508	CEP128	12396	124	85	227
145553	MDP1	6454	23	31	43
145567	TTC7B	25182	18	17	31
145581	LRFN5	6876	6	22	16
1456	CSNK1G3	13460	474	141	595
145645	TERB2	2160	2	4	4
1457	CSNK2A1	8486	1748	228	2023
145748	LYSMD4	14398	70	29	124
145773	FAM81A	6955	17	12	9
145781	GCOM1	6052	0	4	3
145783	LOC145783	6440	15	16	19
145820	LINC00924	2743	3	19	5
145853	C15orf61	6227	140	54	123
145864	HAPLN3	5809	194	147	291
1459	CSNK2A2	7648	447	94	443
145942	TMCO5A	6310	6	29	8
145957	NRG4	9568	1	7	4
1460	CSNK2B	38956	441	97	564
146050	ZSCAN29	10949	76	30	125
146057	TTBK2	16749	69	112	86
146059	CDAN1	6490	152	76	224
146177	VWA3A	6437	10	22	7
146183	OTOA	9049	17	46	10
146198	ZFP90	19375	104	143	213
1462	VCAN	28167	15	47	18
146206	CARMIL2	13180	662	244	758
146212	KCTD19	11093	12	12	12
1463	NCAN	7815	2	1	1
146330	FBXL16	10316	14	88	16
146434	ZNF597	5513	59	16	53
1465	CSRP1	24412	392	205	711
146540	ZNF785	6586	44	36	62
146542	ZNF688	6843	54	65	64
146556	C16orf89	3628	0	5	2
1466	CSRP2	7621	19	32	12
146691	TOM1L2	13190	48	83	60
146705	TEPSIN	9096	42	50	71
146712	B3GNTL1	8698	63	18	117
146754	DNAH2	19444	15	20	10
1468	SLC25A10	7177	457	3	471
146802	SLC47A2	5715	1	1	0
146845	CFAP52	5348	7	28	6
146850	PIK3R6	4774	5	4	23
146857	SLFN13	26409	97	59	224
146862	UNC45B	9359	5	6	5
146880	ARHGAP27P1	3255	92	34	143
146894	CD300LG	5964	2	6	1
146909	KIF18B	5719	243	4	286
146923	RUNDC1	4508	214	85	301
146956	EME1	6941	136	12	248
147007	TMEM199	7670	506	105	558
147015	DHRS13	4958	187	53	285
147040	KCTD11	3491	13	2	16
147081	LINC02210	3580	14	9	15
1471	CST3	4763	4	17	3
147138	TMC8	10065	341	1455	578
147166	TRIM16L	8582	20	8	15
147179	WIPF2	14900	184	96	188
147183	KRT25	1670	1	2	5
147184	TMEM99	5074	86	24	111
147339	C18orf25	16196	532	125	846
147372	CCBE1	7785	7	14	0
147409	DSG4	6080	5	21	10
147429	AQP4-AS1	7565	4	16	2
147463	ANKRD29	9504	5	9	1
147495	APCDD1	7533	1	3	2
1475	CSTA	1572	3	11	3
147525	LINC00526	1875	19	23	30
1476	CSTB	2836	292	208	576
147645	VSIG10L	4594	44	0	37
147657	ZNF480	13267	65	108	89
147658	ZNF534	4235	5	15	1
147660	ZNF578	4052	3	19	10
147664	ERVV-1	2202	6	16	4
147686	ZNF418	11532	4	24	9
147687	ZNF417	7428	31	24	45
147694	ZNF548	11981	60	77	92
147699	PPM1N	5231	11	21	11
1477	CSTF1	7536	553	133	742
147741	ZNF560	3087	2	22	4
1478	CSTF2	2897	756	46	984
147807	ZNF524	1591	39	28	102
147837	ZNF563	4400	51	32	61
147841	SPC24	5169	74	13	95
1479	CSTF3	6439	540	82	784
147923	ZNF420	7180	99	81	120
147929	ZNF565	6753	34	10	37
147945	NLRP4	6640	2	19	4
147948	ZNF582	7898	12	20	10
147949	ZNF583	8662	32	77	40
147965	FAM98C	9236	42	52	119
147968	CAPN12	8727	1	7	2
147991	DPY19L3	21134	169	31	203
148	ADRA1A	9582	3	13	9
148022	TICAM1	2676	227	36	368
148046	CIRBP-AS1	994	3	7	13
148103	ZNF599	8432	17	19	26
148137	PROSER3	11853	41	43	96
148145	LINC00906	3444	6	23	4
148156	ZNF558	12854	247	110	284
148189	LINC00662	6677	54	33	43
148198	ZNF98	3546	11	8	14
148203	ZNF738	5493	84	14	83
148206	ZNF714	13937	164	91	241
148213	ZNF681	7555	79	40	83
148223	C19orf25	14171	143	67	169
148229	ATP8B3	11733	12	17	22
148254	ZNF555	10680	17	20	50
148266	ZNF569	8960	45	31	53
148268	ZNF570	7733	13	44	49
148304	C1orf74	4684	54	1	74
148327	CREB3L4	8013	31	10	38
148362	BROX	5816	504	191	632
148418	SAMD13	7477	8	22	2
148423	C1orf52	4716	302	59	259
148479	PHF13	4479	195	29	266
148523	CIART	5275	24	12	54
148534	TMEM56	7404	11	17	5
148545	NBPF4	2797	6	42	3
148581	UBE2U	2974	2	7	1
1486	CTBS	10951	218	137	338
148641	SLC35F3	4699	14	9	28
1487	CTBP1	13488	680	336	837
148789	B3GALNT2	7910	155	66	226
1488	CTBP2	11891	9	13	23
148808	MFSD4A	9399	20	22	30
148811	PM20D1	4427	9	17	6
148823	GCSAML	16187	8	24	3
148867	SLC30A7	8558	1029	327	1355
148898	ZNF436-AS1	5113	4	4	13
148932	MOB3C	10647	94	42	136
149013	NBPF12	13741	119	179	182
149041	RC3H1	13652	816	132	1278
149047	MGC27382	2779	6	18	2
149076	ZNF362	4111	29	44	59
1491	CTH	3686	61	12	171
149111	CNIH3	2558	3	4	0
149175	MANEAL	8767	34	7	35
149233	IL23R	6393	364	39	824
149281	METTL11B	1282	3	9	4
149297	FAM78B	12046	7	13	18
1493	CTLA4	2943	1945	160	7563
149371	EXOC8	5100	125	53	145
149420	PDIK1L	11029	267	51	323
149428	BNIPL	5169	5	9	3
149465	CFAP57	7619	15	33	14
149478	BTBD19	7591	117	4	284
1495	CTNNA1	21044	1086	98	896
149563	SRARP	3039	1	7	1
1496	CTNNA2	11899	14	39	8
149603	RNF187	3378	553	284	788
149628	PYHIN1	4585	39	210	159
1497	CTNS	5811	275	35	442
149837	LINC00654	6692	5	22	13
1499	CTNNB1	12423	1346	317	1100
149951	COMMD7	4700	208	198	347
149954	BPIFB4	2666	3	4	5
149986	LSM14B	4713	12	10	23
1500	CTNND1	15813	15	12	7
150082	LCA5L	12362	14	12	7
150084	IGSF5	2916	4	17	0
1501	CTNND2	14338	6	19	2
150159	SLC9B1	5193	8	23	8
150165	XKR3	1690	3	4	3
150221	RIMBP3C	11889	5	13	7
150223	YDJC	6558	561	108	587
150248	C22orf15	6202	0	0	2
150274	HSCB	3343	92	15	80
150275	CCDC117	8421	689	137	905
150290	DUSP18	12416	43	13	75
150291	MORC2-AS1	5325	3	0	6
150297	C22orf42	3011	6	12	5
1503	CTPS1	7049	2974	71	3946
150350	ENTHD1	3164	5	14	2
150365	MEI1	9197	73	167	173
150383	CDPF1	7034	52	38	59
150465	TTL	19966	527	151	802
150468	CKAP2L	7922	231	12	529
150472	CBWD2	12450	600	111	686
150568	LINC01102	7958	5	27	8
150577	LINC01104	3569	2	3	3
150590	C2orf15	4342	15	9	16
1506	CTRL	11377	134	36	134
150678	COPS9	2638	380	113	365
150684	COMMD1	2028	130	65	174
150709	ANKAR	8085	33	49	39
150726	FBXO41	13700	155	28	138
150737	TTC30B	4017	8	0	15
150759	LINC00342	2820	5	12	8
150763	GPAT2	2761	120	11	473
150771	ITPRIPL1	10531	498	85	685
1508	CTSB	18269	1118	781	2380
150864	FAM117B	6379	316	60	237
1509	CTSD	5777	388	292	666
150921	TCF23	5454	2	5	1
150946	GAREM2	8227	38	22	49
150962	PUS10	7298	113	50	182
1510	CTSE	4365	1	21	2
151011	10-Sep	5034	24	13	71
151050	KANSL1L	12493	58	54	53
151056	PLB1	10968	14	25	29
151112	ZSWIM2	2610	2	7	2
151121	LINC01854	2213	5	3	3
151126	ZNF385B	9448	5	8	7
151188	ARL6IP6	5765	467	146	672
151194	METTL21A	13492	284	42	283
151195	CCNYL1	8788	36	23	52
1512	CTSH	10490	46	91	270
151230	KLHL23	6033	40	12	36
151242	PPP1R1C	10982	5	30	8
151246	SGO2	6941	364	21	382
151254	C2CD6	8421	9	25	5
151258	SLC38A11	8621	5	24	4
1513	CTSK	2388	9	10	14
151313	FAHD2B	4120	69	37	135
151354	FAM84A	10120	0	13	4
151393	RMDN2	8100	25	19	26
1514	CTSL	4534	88	29	141
151449	GDF7	9749	2	5	5
151473	SLC16A14	7977	11	8	4
151475	LINC01907	2609	2	16	6
1515	CTSV	5271	8	18	9
151525	WDSUB1	3618	69	43	121
151531	UPP2	5549	3	12	3
151556	GPR155	16314	108	141	156
151613	TTC14	14801	149	233	253
151636	DTX3L	6125	1347	431	1660
151647	FAM19A4	3690	4	31	3
151648	SGO1	7499	183	7	243
151649	PP2D1	4016	15	25	14
151651	EFHB	6853	8	37	7
151658	LINC00635	7205	14	21	6
151742	PPM1L	17311	18	12	19
151790	WDR49	5831	4	24	4
151827	LRRC34	8791	39	7	42
151871	DPPA2	1383	2	5	0
151887	CCDC80	16500	18	39	20
151888	BTLA	4617	376	63	306
1519	CTSO	5908	28	138	53
151903	CCDC12	6014	246	92	417
151963	MB21D2	3368	63	20	154
151987	PPP4R2	7619	1355	183	1609
1520	CTSS	5983	210	329	249
152002	XXYLT1	9682	82	19	103
152006	RNF38	10886	372	257	587
152007	GLIPR2	5249	32	298	82
152024	LINC00691	5196	1	13	3
152078	PQLC2L	5844	3	8	1
152098	ZCWPW2	3326	14	24	8
1521	CTSW	2622	9	60	58
152100	CMC1	13463	297	91	339
152110	NEK10	11815	16	64	20
152137	CCDC50	10451	215	59	850
152185	SPICE1	9003	249	50	370
152189	CMTM8	1612	45	37	48
152217	NCBP2-AS2	918	287	125	333
152225	LINC02085	2662	10	29	7
152273	FGD5	10241	11	36	14
1523	CUX1	22446	83	104	128
152330	CNTN4	13690	9	22	5
1524	CX3CR1	7515	5	65	7
152404	IGSF11	15270	10	16	5
152485	ZNF827	12458	137	23	181
1525	CXADR	7709	14	13	20
152503	SH3D19	17821	10	26	5
152518	NFXL1	7217	163	57	230
152519	NIPAL1	6262	35	22	40
152559	PAQR3	21925	232	102	352
152578	LINC01618	727	0	1	2
152579	SCFD2	5615	341	73	464
152586	MGAT4D	7702	8	13	4
152687	ZNF595	8367	81	73	80
152756	FAM218A	2175	5	4	3
152789	JAKMIP1	4987	60	91	110
1528	CYB5A	11637	257	74	313
152815	THAP6	9500	198	69	335
152816	ODAPH	4539	4	9	12
152831	KLB	6082	11	11	8
152926	PPM1K	12859	567	229	793
152992	TRMT44	11008	239	51	325
153020	RASGEF1B	15574	37	55	68
153129	SLC38A9	14392	191	79	254
153201	SLC36A2	6172	7	14	8
153222	CREBRF	15363	84	359	105
153241	CEP120	11881	207	308	336
153339	TMEM167A	10027	1015	168	1449
153364	MBLAC2	4280	73	63	86
153396	TMEM161B	18385	336	97	367
1534	CYB561	18015	44	221	77
153443	SRFBP1	3384	289	62	323
153469	JAKMIP2-AS1	3646	5	4	3
1535	CYBA	5986	388	525	619
153527	ZMAT2	2247	360	124	464
153562	MARVELD2	14978	20	41	10
153579	BTNL9	9216	1	5	0
153642	ARSK	5645	97	28	103
153643	FAM81B	4213	6	18	3
153657	TTC23L	5417	7	35	4
153684	LOC153684	6828	8	40	14
1537	CYC1	3605	1661	121	2158
153733	CCDC112	6421	13	16	9
153745	FAM71B	2515	13	19	12
153768	PRELID2	6314	11	36	29
153769	SH3RF2	9389	2	7	3
153830	RNF145	12259	505	95	565
1539	CYLC2	2369	5	8	4
153918	ZC2HC1B	1986	5	5	4
154	ADRB2	3443	3	16	10
1540	CYLD	20599	1436	1706	2086
154007	SNRNP48	6627	253	49	282
154043	CNKSR3	24884	16	61	25
154075	SAMD3	11489	19	207	10
154092	LINC01010	3815	7	14	2
154141	MBOAT1	1794	49	47	52
154214	RNF217	19008	8	51	21
154313	CFAP206	5617	5	30	3
154467	CCDC167	619	124	131	148
1545	CYP1B1	9744	506	5	119
154661	RUNDC3B	10232	9	17	7
154664	ABCA13	25035	17	87	29
154743	BMT2	4924	130	119	180
154791	FMC1	2538	51	33	73
154796	AMOT	10767	7	8	4
154807	VKORC1L1	7440	390	57	390
154810	AMOTL1	16795	2	11	5
154865	IQUB	8454	7	38	8
154881	KCTD7	6009	55	171	106
155006	TMEM213	6708	2	15	2
155038	GIMAP8	4184	192	189	231
155060	LOC155060	5248	18	32	30
155061	ZNF746	11759	210	67	310
155066	ATP6V0E2	12441	507	254	626
1551	CYP3A7	4500	4	19	2
155435	RBM33	23895	231	198	319
155465	AGR3	1376	1	7	0
1555	CYP2B6	6126	7	11	4
1557	CYP2C19	4427	2	11	3
1558	CYP2C8	6308	1	9	2
1559	CYP2C9	3645	5	15	0
156	GRK2	13445	1903	1020	1641
1565	CYP2D6	11545	3	6	3
157	GRK3	10281	150	22	110
1571	CYP2E1	11647	3	1	8
157273	LOC157273	5326	10	13	10
157285	PRAG1	6800	51	5	87
1573	CYP2J2	4658	20	7	16
157313	CDCA2	6017	336	18	477
157378	TMEM65	9029	69	63	128
157381	LINC00964	8177	8	6	7
157506	RDH10	6628	736	42	2026
157567	ANKRD46	10152	214	56	273
157570	ESCO2	10758	463	33	630
157638	FAM84B	5404	362	76	574
157657	C8orf37	3334	37	18	49
157680	VPS13B	18668	383	367	555
157697	ERICH1	12311	129	116	172
1577	CYP3A5	12361	12	7	18
157769	FAM91A1	11446	2416	154	2888
157777	MCMDC2	8780	22	30	16
157807	CLVS1	14002	7	16	1
157855	KCNU1	5443	10	58	10
157869	SBSPON	5310	5	9	2
157922	CAMSAP1	13884	163	61	207
158	ADSL	11338	1868	246	1998
158038	LINGO2	9220	4	36	8
1581	CYP7A1	2950	2	10	2
158135	TTLL11	7289	14	4	19
158158	RASEF	7341	11	19	2
158219	TTC39B	15222	243	267	339
158228	FAM201A	5935	4	20	8
158234	TRMT10B	6540	53	37	82
158248	TTC16	9106	0	24	2
158293	FAM120AOS	2771	403	123	517
158314	LINC00475	4474	5	8	13
158326	FREM1	14062	17	62	15
158358	KIAA2026	17115	101	166	129
158399	ZNF483	6429	12	49	9
158401	C9orf84	7257	11	21	15
158405	KIAA1958	19505	96	30	111
158427	TSTD2	6343	107	21	152
158431	ZNF782	11171	33	25	42
158434	LOC158434	2662	10	25	3
158435	LOC158435	1577	5	0	3
158471	PRUNE2	33117	32	57	29
158584	FAAH2	2583	29	61	59
158586	ZXDB	5894	98	73	88
1586	CYP17A1	4334	5	1	6
158747	MOSPD2	6792	186	66	360
1588	CYP19A1	15724	9	27	6
158830	CXorf65	1766	10	16	14
158835	AWAT2	3146	2	10	2
158866	ZDHHC15	11824	11	30	17
159	ADSS	3979	834	178	903
159013	CXorf38	8438	230	90	327
159090	FAM122B	12420	172	51	187
159091	FAM122C	10978	30	41	52
1591	CYP24A1	6285	5	20	11
159195	USP54	15859	32	32	39
1593	CYP27A1	5842	1	2	2
159371	SLC35G1	8826	117	53	127
1594	CYP27B1	5720	159	4	169
1595	CYP51A1	7698	1028	86	1366
159686	CFAP58	3587	9	28	12
159963	SLC5A12	9674	10	27	1
159989	DEUP1	8987	6	11	3
16	AARS	5816	1616	169	2499
160	AP2A1	9788	194	68	237
1600	DAB1	12167	10	47	9
1601	DAB2	11827	14	83	18
160140	C11orf65	4639	7	21	11
1602	DACH1	6984	4	24	4
160287	LDHAL6A	3720	4	5	8
1603	DAD1	2022	1357	311	1837
160335	TMTC2	14224	11	21	8
160364	CLEC12A	4504	1	10	8
160365	CLECL1	2386	40	16	59
1604	CD55	10354	840	148	800
160418	TMTC3	7744	184	68	241
160419	C12orf50	6201	3	16	3
160428	ALDH1L2	14295	44	46	82
160492	LMNTD1	4987	6	12	5
1605	DAG1	18550	93	34	110
160518	DENND5B	14029	13	30	16
1606	DGKA	27572	812	1837	1272
160622	GRASP	7047	14	16	16
1607	DGKB	15333	16	75	27
160728	SLC5A8	4178	15	35	12
160760	PPTC7	6213	1223	218	1283
160762	CCDC63	2771	4	7	2
160777	CCDC60	4154	8	11	7
1608	DGKG	13542	26	26	19
160851	DGKH	22741	191	161	195
160857	CCDC122	5065	8	30	12
160897	GPR180	8822	708	48	928
1609	DGKQ	7356	91	141	197
161	AP2A2	44342	117	67	127
1610	DAO	6541	4	4	2
161003	STOML3	3519	1	7	2
1611	DAP	5403	566	187	787
161142	FAM71D	5874	17	9	24
161145	TMEM229B	8620	16	63	29
161176	SYNE3	20263	67	102	131
1612	DAPK1	21558	103	29	58
161291	TMEM30B	4471	40	38	41
1613	DAPK3	6726	170	51	217
161357	MDGA2	12312	24	43	13
161424	NOP9	7000	74	17	88
161436	EML5	15558	41	43	114
161497	STRC	14916	3	10	6
1615	DARS	6111	1526	269	2007
161502	CFAP161	1996	2	5	2
1616	DAXX	38481	1052	342	1280
161725	OTUD7A	14879	23	12	30
161742	SPRED1	8702	22	30	22
161779	PGBD4	6612	47	29	59
1618	DAZL	3631	7	22	4
161823	ADAL	10873	59	32	94
161829	EXD1	7143	2	7	4
161835	FSIP1	3136	15	4	10
161931	ADAD2	8062	3	5	3
162	AP1B1	10653	880	174	868
1620	BRINP1	4680	3	14	2
162073	ITPRIPL2	10411	144	35	300
1622	DBI	5488	997	182	1366
162239	ZFP1	11163	241	103	310
162282	ANKFN1	7397	17	77	24
162333	10-Mar	6878	3	19	5
162394	SLFN5	13178	414	1135	223
162427	RETREG3	11329	448	565	595
162466	PHOSPHO1	7957	0	2	0
162514	TRPV3	15883	6	8	12
162517	FBXO39	3787	3	11	9
162655	ZNF519	17322	61	80	83
162681	C18orf54	13203	167	42	236
1627	DBN1	10040	51	4	29
1628	DBP	10060	50	107	54
1629	DBT	11432	187	106	262
162962	ZNF836	7626	24	70	31
162963	ZNF610	9143	7	21	2
162966	ZNF600	3829	68	80	108
162967	ZNF320	16212	50	65	63
162968	ZNF497	6424	7	9	7
162972	ZNF550	10226	65	78	66
162979	ZNF296	3225	48	5	41
162989	DEDD2	8065	224	178	368
162993	ZNF846	6426	14	33	18
162998	OR7D2	3224	2	1	1
163	AP2B1	11370	1374	459	1924
1630	DCC	22645	11	47	10
163049	ZNF791	12224	171	136	275
163050	ZNF564	10096	84	90	107
163051	ZNF709	9848	43	34	30
163059	ZNF433	8231	15	9	21
163071	ZNF114	9038	7	14	8
163081	ZNF567	11775	73	84	96
163087	ZNF383	12909	35	94	49
163115	ZNF781	6897	7	26	7
163126	EID2	1981	166	58	210
163131	ZNF780B	12853	59	45	78
163183	SYNE4	3757	3	1	8
1632	ECI1	4935	190	80	294
163223	ZNF676	2944	15	31	6
163227	ZNF100	19433	227	45	277
163255	ZNF540	11387	9	37	6
163259	DENND2C	15685	18	51	26
1633	DCK	3740	855	534	1052
163351	GBP6	2987	12	14	14
1634	DCN	16808	5	9	1
163479	FNDC7	3646	4	9	2
163486	DENND1B	23240	306	159	471
1635	DCTD	9726	984	196	1303
163589	TDRD5	6026	9	11	11
163590	TOR1AIP2	23358	504	163	695
1636	ACE	18560	5	71	3
163702	IFNLR1	6723	76	32	64
163732	CITED4	1316	2	23	12
163782	KANK4	7346	7	14	2
163786	SASS6	4257	183	22	271
1638	DCT	9966	12	21	4
163859	SDE2	3975	713	76	871
163882	CNST	8725	607	326	751
1639	DCTN1	18918	870	439	1187
164	AP1G1	17350	963	214	1235
164045	HFM1	7493	6	46	1
1641	DCX	22243	5	17	11
164118	TTC24	4719	16	0	5
1642	DDB1	22370	3991	650	4400
164237	WFDC13	1372	4	1	3
1643	DDB2	11288	545	143	654
164395	TTLL9	13245	2	7	1
1644	DDC	5968	3	7	1
1645	AKR1C1	10250	5	6	1
1646	AKR1C2	7893	2	15	5
164656	TMPRSS6	5460	34	8	140
164668	APOBEC3H	2552	9	11	37
164684	WBP2NL	7592	15	18	14
1647	GADD45A	3985	50	25	124
164781	DAW1	3732	5	14	4
164832	LONRF2	14884	5	4	8
1649	DDIT3	4855	52	16	58
165	AEBP1	9292	88	6	45
1650	DDOST	4670	1667	561	2228
165055	CCDC138	4899	250	20	214
165082	ADGRF3	6827	19	5	21
165186	TOGARAM2	12691	7	3	30
1652	DDT	7084	138	41	161
165215	FAM171B	6439	0	23	18
1653	DDX1	5652	2065	197	2630
165324	UBXN2A	10407	225	81	247
1654	DDX3X	14430	6704	1286	9824
1655	DDX5	17988	7598	6609	11105
165530	CLEC4F	2475	3	10	9
1656	DDX6	18546	1047	604	1350
165631	PARP15	7097	65	229	91
1657	DMXL1	21483	355	178	348
165829	GPR156	11211	4	8	6
1659	DHX8	7417	449	79	565
165904	XIRP1	15096	180	0	227
165918	RNF168	7165	282	133	331
166	AES	11928	640	1293	923
1660	DHX9	7636	4058	525	4478
1662	DDX10	10629	637	65	824
1663	DDX11	19118	569	62	938
166336	PRICKLE2	11238	4	13	3
166348	KBTBD12	16181	3	15	5
166378	SPATA5	8452	274	47	289
166379	BBS12	7163	66	16	67
1665	DHX15	11248	4310	399	4807
1666	DECR1	6643	394	173	562
166614	DCLK2	7752	4	20	4
166647	ADGRA3	14266	299	55	86
166752	FREM3	6885	3	31	3
166785	MMAA	10034	229	53	302
166793	ZBTB49	5643	40	34	81
166815	TIGD2	2083	28	5	41
166824	RASSF6	12423	11	15	2
166863	RBM46	5838	7	30	1
166929	SGMS2	9247	26	32	28
166968	MIER3	15470	311	80	372
166979	CDC20B	6270	14	57	16
167	CRISP1	3896	2	12	1
167227	DCP2	18927	533	249	822
167359	NIM1K	5648	10	11	15
167410	LIX1	4391	6	31	3
167465	ZNF366	4802	1	6	2
167555	FAM151B	4042	20	20	12
1676	DFFA	7379	594	103	764
167691	LCA5	6568	6	25	13
1677	DFFB	8395	167	54	178
1678	TIMM8A	2846	248	11	297
167838	TXLNB	6720	9	20	5
168374	ZNF92	9610	155	78	133
168391	GALNTL5	6584	7	8	3
168400	DDX53	3629	1	7	12
168451	THAP5	8653	272	69	352
168455	CCDC71L	4232	75	19	110
168507	PKD1L1	10045	13	30	13
168537	GIMAP7	1256	327	1000	326
168544	ZNF467	3162	0	15	0
168667	BMPER	6709	1	26	4
1687	GSDME	14099	82	11	82
168850	ZNF800	10349	411	189	441
168975	CNBD1	3536	5	17	6
1690	COCH	7279	22	6	23
169026	SLC30A8	9969	16	31	9
169044	COL22A1	9336	10	25	7
169166	SNX31	4497	11	18	11
169200	TMEM64	8020	662	140	860
169270	ZNF596	10819	19	25	27
169355	IDO2	5281	2	13	2
169714	QSOX2	7731	39	6	60
169792	GLIS3	17655	28	33	55
169834	ZNF883	2319	9	17	21
169841	ZNF169	8205	34	80	46
169981	SPIN3	3869	35	31	61
170082	TCEANC	6671	6	43	17
170384	FUT11	6897	289	63	403
170392	OIT3	2977	4	16	4
170394	PWWP2B	4480	8	4	5
170425	LINC00858	3162	11	10	5
170463	SSBP4	4883	345	202	584
170487	ACTL10	2028	49	19	47
170506	DHX36	13906	417	150	514
170575	GIMAP1	4420	86	317	130
170591	S100Z	2679	7	10	11
170622	COMMD6	4987	232	343	347
170690	ADAMTS16	6413	5	9	0
170691	ADAMTS17	10683	4	7	8
170692	ADAMTS18	9617	13	24	5
170850	KCNG3	7480	20	19	5
170954	PPP1R18	48567	169	202	219
170958	ZNF525	13080	67	30	137
170959	ZNF431	17102	132	172	217
170960	ZNF721	7995	173	187	246
171017	ZNF384	13966	416	211	529
171019	ADAMTS19	6006	5	14	5
171023	ASXL1	20567	446	197	793
171024	SYNPO2	23444	11	38	12
171389	NLRP6	3776	1	32	11
171391	LOC171391	1666	13	16	24
171392	ZNF675	5799	199	100	197
171425	CLYBL	8470	11	17	42
171546	SPTSSA	2777	500	28	564
171568	POLR3H	14032	1003	75	1210
171586	ABHD3	8420	273	197	427
1716	DGUOK	3580	498	177	656
1717	DHCR7	7552	716	40	900
1718	DHCR24	7921	2174	39	2219
1719	DHFR	9076	927	27	1204
1723	DHODH	10087	216	22	402
1725	DHPS	9951	393	120	606
1727	CYB5R3	11618	633	224	962
1728	NQO1	5710	96	4	145
1729	DIAPH1	14183	2424	1091	3011
173	AFM	2377	0	8	1
1730	DIAPH2	12051	96	121	135
1731	1-Sep	5993	687	700	1176
1733	DIO1	8079	6	3	12
1734	DIO2	16590	11	29	12
1736	DKC1	8032	2268	139	2744
1737	DLAT	6673	1477	147	1694
1738	DLD	8703	2016	245	2704
1739	DLG1	20548	622	258	629
1740	DLG2	29250	26	81	24
1741	DLG3	18739	131	81	162
1743	DLST	8257	159	38	153
175	AGA	3633	112	71	218
1755	DMBT1	8073	7	12	10
1756	DMD	28944	7	38	49
1757	SARDH	7007	32	34	17
1758	DMP1	2682	2	13	1
176	ACAN	17973	3	25	8
1760	DMPK	16531	3	5	8
1762	DMWD	7890	136	48	186
1763	DNA2	7831	493	27	665
1767	DNAH5	17181	28	132	34
1768	DNAH6	15253	28	68	28
1769	DNAH8	16235	25	107	38
177	AGER	31353	4	7	12
1770	DNAH9	21295	35	92	28
1773	DNASE1	17745	59	111	102
1774	DNASE1L1	9472	59	53	79
1776	DNASE1L3	5051	11	21	5
1777	DNASE2	3511	231	116	355
1778	DYNC1H1	18423	882	505	1272
178	AGL	11510	504	144	630
1780	DYNC1I1	7673	7	44	4
1781	DYNC1I2	11428	280	116	436
1783	DYNC1LI2	12564	461	212	739
1785	DNM2	22852	1276	520	1812
1786	DNMT1	17092	1385	331	1949
1787	TRDMT1	3955	85	61	100
1788	DNMT3A	17069	425	88	445
1789	DNMT3B	5895	9	6	17
1791	DNTT	2770	8	16	2
1793	DOCK1	8889	22	10	32
1794	DOCK2	16836	2270	1109	3186
1795	DOCK3	8755	59	61	63
1796	DOK1	12561	153	55	262
1797	DXO	81131	80	39	97
1798	DPAGT1	15235	738	89	1283
18	ABAT	14380	139	74	239
1801	DPH1	12550	141	66	239
1802	DPH2	12226	1193	84	1312
1803	DPP4	6373	371	484	888
1804	DPP6	17725	5	6	4
1806	DPYD	7026	84	280	116
1807	DPYS	5866	4	13	2
1808	DPYSL2	10528	186	171	369
